,"field_name","continuous"
12683,"End systolic pressure during PWA",1
12684,"End systolic pressure index during PWA",1
12685,"Total peripheral resistance during PWA",1
12686,"Stroke volume during PWA",1
12698,"Diastolic brachial blood pressure",1
12702,"Cardiac index during PWA",1
20001,"Cancer code self-reported",0
20002,"Non-cancer illness code self-reported",0
20016,"Fluid intelligence score",1
20018,"Prospective memory result",0
20022,"Birth weight",1
20023,"Mean time to correctly identify matches",1
20084,"Vitamin and/or mineral supplement use",0
20116,"Smoking status",0
20117,"Alcohol drinker status",0
20118,"Home area population density - urban or rural",0
20126,"Bipolar and major depression status",0
20127,"Neuroticism score",1
20128,"Number of fluid intelligence questions attempted within time limit",1
20132,"Number of incorrect matches in round",1
20133,"Time to complete round",1
20156,"Duration to complete numeric path (trail #1)",1
20157,"Duration to complete alphanumeric path (trail #2)",1
20159,"Number of symbol digit matches made correctly",1
20160,"Ever smoked",0
20161,"Pack years of smoking",1
20162,"Pack years adult smoking as proportion of life span exposed to smoking",1
20195,"Number of symbol digit matches attempted",1
20230,"Duration to entering value",1
20240,"Maximum digits remembered correctly",1
20244,"Pairs matching completion status",0
20246,"Trail making completion status",0
20247,"Total errors traversing numeric path (trail #1)",1
20248,"Total errors traversing alphanumeric path (trail #2)",1
20546,"Substances taken for depression",0
20549,"Substances taken for anxiety",0
21000,"Ethnic background",0
21001,"Body mass index (BMI)",1
21002,"Weight",1
21004,"Number of puzzles correct",1
21021,"Pulse wave Arterial Stiffness index",1
22403,"Anterior thigh lean muscle volume (right)",1
22404,"Posterior thigh lean muscle volume (right)",1
22405,"Anterior thigh lean muscle volume (left)",1
22406,"Posterior thigh lean muscle volume (left)",1
22407,"Visceral adipose tissue volume (VAT)",1
22408,"Abdominal subcutaneous adipose tissue volume (ASAT)",1
22420,"LV ejection fraction",1
22421,"LV end diastolic volume",1
22422,"LV end systolic volume",1
22423,"LV stroke volume",1
22424,"Cardiac output",1
22425,"Cardiac index",1
22426,"Average heart rate",1
22427,"Body surface area",1
22506,"Tobacco smoking",0
23099,"Body fat percentage",1
23100,"Whole body fat mass",1
23105,"Basal metabolic rate",1
23321,"Values wanted",1
23322,"Values entered",1
23323,"Number of symbol digit matches attempted",1
23324,"Number of symbol digit matches made correctly",1
100240,"Coffee consumed",0
100390,"Tea consumed",0
100580,"Alcohol consumed",0
104670,"Vitamin supplement user",0
